Exchange Name,Country,Code,Currency,Number of Stocks
US OTC,United States,OTC,USD,7582
Bombay Stock Exchange,India,BOM,INR,4253
Tokyo Stock Exchange,Japan,TYO,JPY,3894
Nasdaq Stock Market,United States,NASDAQ,USD,3316
London Stock Exchange,United Kingdom,LON,GBP,3298
Shenzhen Stock Exchange,China,SHE,CNY,2819
Hong Kong Stock Exchange,Hong Kong,HKG,HKD,2555
National Stock Exchange of India,India,NSE,INR,2547
Shanghai Stock Exchange,China,SHA,CNY,2267
New York Stock Exchange,United States,NYSE,USD,1943
Australian Securities Exchange,Australia,ASX,AUD,1791
KOSDAQ,South Korea,KOSDAQ,KRW,1624
TSX Venture Exchange,Canada,TSXV,CAD,1395
Taipei Exchange,Taiwan,TPEX,TWD,1118
Taiwan Stock Exchange,Taiwan,TPE,TWD,1031
Bursa Malaysia,Malaysia,KLSE,MYR,1014
Indonesia Stock Exchange,Indonesia,IDX,IDR,888
Stock Exchange of Thailand,Thailand,BKK,THB,881
Korea Stock Exchange,South Korea,KRX,KRW,814
Nasdaq Stockholm,Sweden,STO,SEK,778
Euronext Paris,France,EPA,EUR,756
Warsaw Stock Exchange,Poland,WSE,PLN,718
Toronto Stock Exchange,Canada,TSX,CAD,715
Deutsche Börse Xetra,Germany,ETR,EUR,688
London Stock Exchange AIM,United Kingdom,AIM,GBP,644
Canadian Securities Exchange,Canada,CSE,CAD,582
Istanbul Stock Exchange,Turkey,IST,TRY,548
Tel Aviv Stock Exchange,Israel,TLV,ILS,486
Pakistan Stock Exchange,Pakistan,PSX,PKR,463
Ho Chi Minh Stock Exchange,Vietnam,HOSE,VND,383
Singapore Exchange,Singapore,SGX,SGD,354
Dhaka Stock Exchange,Bangladesh,DSE,BDT,353
Borsa Italiana,Italy,BIT,EUR,337
Brazil Stock Exchange,Brazil,BVMF,BRL,319
Saudi Stock Exchange,Saudi Arabia,TADAWUL,SAR,317
Oslo Børs,Norway,OSL,NOK,309
Colombo Stock Exchange,Sri Lanka,COSE,LKR,291
Philippine Stock Exchange,Philippines,PSE,PHP,275
Johannesburg Stock Exchange,South Africa,JSE,ZAR,272
Hanoi Stock Exchange,Vietnam,HNX,VND,250
NYSE American,United States,AMEX,USD,233
Frankfurt Stock Exchange,Germany,FRA,EUR,233
SIX Swiss Exchange,Switzerland,SWX,CHF,218
Egyptian Stock Exchange,Egypt,EGX,EGP,214
Moscow Stock Exchange,Russia,MOEX,RUB,189
Nasdaq Helsinki,Finland,HEL,EUR,187
Bucharest Stock Exchange,Romania,BVB,RON,176
Copenhagen Stock Exchange,Denmark,CPH,DKK,163
Singapore Exchange – Catalist,Singapore,SGXC,SGD,161
Santiago Stock Exchange,Chile,SNSE,CLP,154
Madrid Stock Exchange,Spain,BME,EUR,154
Nigerian Stock Exchange,Nigeria,NGX,NGN,146
Nordic Growth Market,Sweden,NGM,SEK,144
Kuwait Stock Exchange,Kuwait,KWSE,KWD,141
Athens Stock Exchange,Greece,ATH,EUR,130
Vienna Stock Exchange,Austria,VIE,EUR,127
New Zealand Stock Exchange,New Zealand,NZE,NZD,116
Amman Stock Exchange,Jordan,ASE,JOD,116
Euronext Brussels,Belgium,EBR,EUR,115
Mexican Stock Exchange,Mexico,BMV,MXN,110
Korea New Exchange,South Korea,XKON,KRW,110
Lima Stock Exchange,Peru,BVL,PEN,107
Euronext Amsterdam,Netherlands,AMS,EUR,106
Luxembourg Stock Exchange,Luxembourg,LUX,EUR,104
Muscat Securities Market,Oman,MSM,OMR,102
Abu Dhabi Securities Exchange,United Arab Emirates,ADX,AED,100
Jamaica Stock Exchange,Jamaica,JMSE,JMD,96
Mauritius Stock Exchange,Mauritius,MUSE,MUR,88
Cboe Canada,Canada,NEO,CAD,87
Aquis Exchange,United Kingdom,AQU,GBP,80
Bulgarian Stock Exchange,Bulgaria,BUL,BGN,76
Buenos Aires Stock Exchange,Argentina,BCBA,ARS,74
Casablanca Stock Exchange,Morocco,CBSE,MAD,73
Hamburg Stock Exchange,Germany,HAM,EUR,68
Tunis Stock Exchange,Tunisia,BVMT,TND,65
Colombia Stock Exchange,Colombia,BVC,COP,58
Dubai Financial Market,United Arab Emirates,DFM,AED,56
Nairobi Stock Exchange,Kenya,NASE,KES,56
Nagoya Stock Exchange,Japan,XNGO,JPY,55
Qatar Stock Exchange,Qatar,QSE,QAR,53
Zagreb Stock Exchange,Croatia,ZSE,HRK,51
Prague Stock Exchange,Czech Republic,PRA,CZK,46
Budapest Stock Exchange,Hungary,BUD,HUF,45
Ivory Coast Stock Exchange,Ivory Coast,BRVM,XOF,44
Euronext Lisbon,Portugal,ELI,EUR,39
Dusseldorf Stock Exchange,Germany,DUSE,EUR,38
Munich Stock Exchange,Germany,MUN,EUR,32
Nasdaq Iceland,Iceland,ICE,ISK,32
Namibian Stock Exchange,Namibia,NMSE,NAD,31
Cyprus Stock Exchange,Cyprus,CYS,EUR,30
Nasdaq Tallinn,Estonia,TAL,EUR,29
Stuttgart Stock Exchange,Germany,BST,EUR,28
Tanzania Stock Exchange,Tanzania,DAR,TZS,28
Nasdaq Vilnius,Lithuania,VSE,EUR,26
Euronext Dublin,Ireland,ISE,EUR,25
Fukuoka Stock Exchange,Japan,FKSE,JPY,25
Palestine Stock Exchange,Palestine,PEX,JOD,24
Malta Stock Exchange,Malta,MSE,EUR,23
Bahrain Stock Exchange,Bahrain,BAX,BHD,23
Ghana Stock Exchange,Ghana,GHSE,GHS,20
Kazakhstan Stock Exchange,Kazakhstan,KASE,KZT,19
Lusaka Stock Exchange,Zambia,LUSE,ZMW,19
Caracas Stock Exchange,Venezuela,CCSE,VES,18
Belgrade Stock Exchange,Serbia,BELEX,EUR,18
Botswana Stock Exchange,Botswana,BSM,BWP,18
Sapporo Stock Exchange,Japan,SPSE,JPY,17
Uganda Securities Exchange,Uganda,UGSE,UGX,17
Ljubljana Stock Exchange,Slovenia,LJSE,EUR,14
Malawi Stock Exchange,Malawi,MAL,MWK,13
Nasdaq Riga,Latvia,RSE,EUR,10
Beirut Stock Exchange,Lebanon,BDB,LBP,8
CBOE Europe,Europe,CHIX,EUR,6
Bratislava Stock Exchange,Slovakia,BSSE,EUR,6
Zimbabwe Stock Exchange,Zimbabwe,ZMSE,ZWL,5
PFTS Stock Exchange,Ukraine,UKR,UAH,2
